la_name,region_name,region_code,Row Labels,LA_susp_rate,Region_susp_rate,NonSEND_susp_rate,LA_oneplus_rate,REG_Total_susp_rate,NonSEND_oneplus_rate,LA_perm_excl_rate,REG_Overrepresentation,NonSEND_perm_excl_rate,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,Total_susp_rate,Overrepresentation,Regions,REG_SEND_pct_students,NonSEND_Headcount
Calderdale,Yorkshire and The Humber,E12000003,E08000033,0.2923728813559322,,0.09513057137247202,0.08796610169491526,,0.039007788467831664,0.00711864406779661,,0.0012435368806859087,1515,4385,42,1725,519,5900,36458,4632,80,1711,0.162,0.292,0.127,2.301,,,30558
Kirklees,Yorkshire and The Humber,E12000003,E08000034,0.30524412296564196,,0.07130905336608637,0.0930379746835443,,0.027893481434013316,0.005334538878842676,,0.000516216312435473,2417,8643,59,3376,1029,11060,67238,7382,88,2596,0.164,0.305,0.11,2.78,,,56178
Leeds,Yorkshire and The Humber,E12000003,E08000035,0.225199320350281,,0.07684998985296017,0.0758506513309807,,0.029795398778665386,0.0003485383174312726,,0.0001014703983174363,3317,19636,8,5169,1741,22953,131359,13500,19,4971,0.175,0.225,0.103,2.191,,,108406
Wakefield,Yorkshire and The Humber,E12000003,E08000036,0.32166666666666666,,0.11199074897705034,0.09270833333333334,,0.03351272015655577,0.0015625,,0.0006671410780999822,2278,7322,15,3088,890,9600,54568,8124,45,2397,0.176,0.322,0.149,2.161,,,44968
Gateshead,North East,E12000001,E08000037,0.2808028616852146,,0.09752093943347784,0.07611287758346581,,0.032029967591228586,0.005961844197138315,,0.0015152152868386716,1257,3775,30,1413,383,5032,28791,3730,66,1144,0.175,0.281,0.13,2.167,,,23759
City of London,Inner London,E13000001,E09000001,0.0,,0.004901960784313725,0.0,,0.004901960784313725,0.0,,0.0,8,59,0,0,0,67,271,1,0,1,0.247,0.0,0.004,0.0,,,204
Barking and Dagenham,Outer London,E13000002,E09000002,0.07088500563697858,,0.01856251468553377,0.03678128523111612,,0.013706498185520716,0.0008455467869222097,,0.0003132913870976164,1625,5471,6,503,261,7096,45399,1214,18,786,0.156,0.071,0.027,2.651,,,38303
Barnet,Outer London,E13000002,E09000003,0.12133658969804618,,0.037534422271681314,0.056949378330373,,0.02578369610321023,0.0011101243339253996,,0.00016975366856539288,2628,6380,10,1093,513,9008,62026,3083,19,1880,0.145,0.121,0.05,2.441,,,53018
Bexley,Outer London,E13000002,E09000004,0.1951784886416319,,0.05622814097390368,0.081440271982692,,0.026311541565778855,0.0023180343069077423,,0.0009147161689534571,1810,4661,15,1263,527,6471,43641,3353,49,1505,0.148,0.195,0.077,2.54,,,37170
Brent,Outer London,E13000002,E09000005,0.11884787472035795,,0.03505134522038198,0.06012304250559284,,0.023538307681049832,0.0011185682326621924,,0.0004878405737005147,2025,5127,8,850,430,7152,48149,2287,28,1395,0.149,0.119,0.047,2.502,,,40997
Bromley,Outer London,E13000002,E09000006,0.12379565314810666,,0.032408244440426684,0.058592874747927404,,0.016927318748870004,0.002016580775263276,,0.000677996745615621,2384,6542,18,1105,523,8926,53174,2539,48,1272,0.168,0.124,0.048,2.593,,,44248
Camden,Inner London,E13000001,E09000007,0.11281543790202869,,0.02938994464418193,0.05616031667491341,,0.020373223763054272,0.002226620484908461,,0.00045654282942418536,1004,3038,9,456,227,4042,21565,971,17,584,0.187,0.113,0.045,2.506,,,17523
Croydon,Outer London,E13000002,E09000008,0.1555790892461731,,0.04288396228405088,0.07576778665639743,,0.028751028329149702,0.0012515644555694619,,0.00023203324403569094,2522,7865,13,1616,787,10387,57794,3649,24,2150,0.18,0.156,0.063,2.464,,,47407
Ealing,Outer London,E13000002,E09000009,0.10570798628123469,,0.03138296723471349,0.05303772660460559,,0.021209961338257845,0.002939735423811857,,0.00062636342037625,2512,5652,24,863,433,8164,54463,2316,53,1415,0.15,0.106,0.043,2.486,,,46299
Enfield,Outer London,E13000002,E09000010,0.13767168083714845,,0.043716659936667165,0.061478090255068674,,0.028244745287229294,0.00021800741225201656,,0.00012751578007778462,2989,6185,2,1263,564,9174,56227,3320,8,1893,0.163,0.138,0.059,2.332,,,47053
Greenwich,Outer London,E13000002,E09000011,0.14063237376120813,,0.04096512954665628,0.06925436526663521,,0.02607630868560933,0.00023596035865974517,,0.00019480700192024044,1729,6747,2,1192,587,8476,44409,2664,9,1524,0.191,0.141,0.06,2.344,,,35933
Hackney,Inner London,E13000001,E09000012,0.1728649125385859,,0.058891541100999555,0.0798177274731736,,0.03599134715798896,0.0019109216522122593,,0.0007459346561241235,1907,4896,13,1176,543,6803,33615,2755,33,1508,0.202,0.173,0.082,2.109,,,26812
Hammersmith and Fulham,Inner London,E13000001,E09000013,0.10903244665302543,,0.046138051814723115,0.06284712072493423,,0.03327495621716287,0.0008769365682548962,,0.0005435110815870523,1275,2146,3,373,215,3421,19980,1137,12,766,0.171,0.109,0.057,1.916,,,16559
Haringey,Inner London,E13000001,E09000014,0.10578689528475199,,0.040807848400600776,0.05327617881200245,,0.027482184514108585,0.0003061849357011635,,0.0,1896,4636,2,691,348,6532,37825,1968,2,1208,0.173,0.106,0.052,2.033,,,31293
Harrow,Outer London,E13000002,E09000015,0.09661016949152543,,0.02437367052706216,0.05028248587570622,,0.016249113684708105,0.002824858757062147,,0.00032498227369416214,1483,3827,15,513,267,5310,39158,1338,26,817,0.136,0.097,0.034,2.827,,,33848
Havering,Outer London,E13000002,E09000016,0.1294228949858089,,0.03130415944540728,0.06244087038789026,,0.01827881282495667,0.0013245033112582781,,0.0003791161178509532,1626,3659,7,684,330,5285,42213,1840,21,1005,0.125,0.129,0.044,2.969,,,36928
Hillingdon,Outer London,E13000002,E09000017,0.13084340290491883,,0.03373816155988858,0.057366044184059564,,0.020233983286908078,0.0013426095447333088,,0.000690807799442897,2323,5870,11,1072,470,8193,53068,2586,42,1378,0.154,0.131,0.049,2.685,,,44875
Hounslow,Outer London,E13000002,E09000018,0.12560386473429952,,0.034556663932474266,0.05958132045088567,,0.022517397401635223,0.004335439118047814,,0.0005821183817108989,1975,6098,35,1014,481,8073,45866,2320,57,1332,0.176,0.126,0.051,2.483,,,37793
Islington,Inner London,E13000001,E09000019,0.16424116424116425,,0.051680718274389574,0.0669060669060669,,0.028687178364173876,0.000756000756000756,,0.00043797218876601336,1471,3820,4,869,354,5291,23557,1813,12,878,0.225,0.164,0.077,2.134,,,18266
Kensington and Chelsea,Inner London,E13000001,E09000020,0.20769549027720313,,0.08168545555350212,0.09433181630119983,,0.0441692847902421,0.0024824162184526274,,0.0011088523378303455,780,1637,6,502,228,2417,13239,1386,18,706,0.183,0.208,0.105,1.984,,,10822
Kingston upon Thames,Outer London,E13000002,E09000021,0.05441503833786792,,0.010728868039266789,0.029928271085827355,,0.008166101989401441,0.0012367054167697256,,0.0002171835635479107,1199,2844,5,220,121,4043,27065,467,10,309,0.149,0.054,0.017,3.154,,,23022
Lambeth,Inner London,E13000001,E09000022,0.12376024148339802,,0.03871654814662132,0.06353313209716832,,0.02459720361400254,0.0002874802357337933,,0.00017176818166202894,2081,4876,2,861,442,6957,36066,1988,7,1158,0.193,0.124,0.055,2.245,,,29109
Lewisham,Inner London,E13000001,E09000023,0.11303883624716402,,0.04180750172283661,0.061123715467769915,,0.026646539559610147,0.0006672894701721607,,0.00039379122501886915,2000,5493,5,847,458,7493,37966,2121,17,1270,0.197,0.113,0.056,2.023,,,30473
Merton,Outer London,E13000002,E09000024,0.10519256562559877,,0.014495936745003294,0.05920674458708565,,0.010103228640456841,0.0005748227629814141,,0.00048319789150010983,1452,3767,3,549,309,5219,27984,879,14,539,0.186,0.105,0.031,3.349,,,22765
Newham,Inner London,E13000001,E09000025,0.08387175423625502,,0.03249515740690454,0.043033036693892475,,0.019786744872282266,0.0017066926734121662,,0.000470681945726751,1918,6285,14,688,353,8203,63442,2483,40,1446,0.129,0.084,0.039,2.143,,,55239
Redbridge,Outer London,E13000002,E09000026,0.09374201787994892,,0.031152278035071052,0.050957854406130265,,0.022048054467007087,0.0017879948914431673,,0.00037604401694177255,2192,5638,14,734,399,7830,58356,2308,33,1513,0.134,0.094,0.04,2.37,,,50526
Richmond upon Thames,Outer London,E13000002,E09000027,0.10434360592089299,,0.015745488312002908,0.0485319097306479,,0.009649158221971012,0.0007279786459597186,,8.074609390770722e-05,1254,2867,3,430,200,4121,28890,820,5,439,0.143,0.104,0.028,3.676,,,24769
Southwark,Inner London,E13000001,E09000028,0.1188529744686203,,0.04200652528548124,0.06301094201987172,,0.027703332556513634,0.0011319330901773362,,0.00032043812631088323,1957,5994,9,945,501,7951,42279,2387,20,1452,0.188,0.119,0.056,2.105,,,34328
Sutton,Outer London,E13000002,E09000029,0.2119144227222427,,0.039132021446818065,0.08225746956842493,,0.023187266653566515,0.007930652895610476,,0.0010386548016730764,1612,3810,43,1149,446,5422,41045,2543,80,1272,0.132,0.212,0.062,3.42,,,35623
Tower Hamlets,Inner London,E13000001,E09000030,0.05754203173099692,,0.02015349935594676,0.03350698555529245,,0.013739802490339202,0.0003551977267345489,,0.0,2753,5693,3,486,283,8446,45710,1237,3,795,0.185,0.058,0.027,2.126,,,37264
Waltham Forest,Outer London,E13000002,E09000031,0.12715547455488574,,0.033264033264033266,0.059442030001401934,,0.021843761569788966,0.003224449740642086,,0.0004841511690826759,2257,4876,23,907,424,7133,42246,2075,40,1191,0.169,0.127,0.049,2.589,,,35113
Wandsworth,Inner London,E13000001,E09000032,0.08140426184271041,,0.025127334465195245,0.045531197301854974,,0.0152046783625731,0.0007665184730952016,,0.0005282022259950952,2185,4338,5,531,297,6523,33028,1197,19,700,0.197,0.081,0.036,2.246,,,26505
Westminster,Inner London,E13000001,E09000033,0.14936926605504589,,0.04933565061389247,0.08056192660550458,,0.03223636261703201,0.0017201834862385322,,5.6063239333968715e-05,945,2543,6,521,281,3488,21325,1401,7,856,0.164,0.149,0.066,2.274,,,17837
Buckinghamshire,South East,E12000008,E06000060,0.17575757575757575,,0.03363902232455966,0.06849215041986126,,0.018314872894252782,0.0011683096020445418,,0.00022496592427911655,4060,9635,16,2407,938,13695,89262,4949,33,2322,0.153,0.176,0.055,3.17,,,75567
Cambridgeshire,East of England,E12000006,E10000003,0.24183773216031282,,0.0462326726774437,0.08817204301075268,,0.02065377129920165,0.0009775171065493646,,9.267717890667408e-05,4841,10504,15,3711,1353,15345,90876,7203,22,2913,0.169,0.242,0.079,3.051,,,75531
Westmoreland & Furness,North West,E12000002,E06000064,0.16148539306703005,,0.047637721436974645,0.06456008857848565,,0.024262160917972415,0.002810663486926156,,0.0008525003836251726,3066,8675,33,1896,758,11741,70392,4690,83,2181,0.167,0.161,0.067,2.424,,,58651
Cumberland,North West,E12000002,E06000063,0.16148539306703005,,0.047637721436974645,0.06456008857848565,,0.024262160917972415,0.002810663486926156,,0.0008525003836251726,3066,8675,33,1896,758,11741,70392,4690,83,2181,0.167,0.161,0.067,2.424,,,58651
Derbyshire,East Midlands,E12000004,E10000007,0.30319615841379666,,0.072555240412103,0.09072133009758868,,0.026075940852681025,0.005628130324779264,,0.0008744296588603267,3345,16022,109,5872,1757,19367,108568,12344,187,4083,0.178,0.303,0.114,2.667,,,89201
Devon,South West,E12000009,E10000008,0.4531361187353868,,0.08890746591593622,0.11177188167124123,,0.0278450512029308,0.005997763545796482,,0.0006392682836875945,5081,14593,118,8915,2199,19674,101017,16147,170,4464,0.195,0.453,0.16,2.835,,,81343
East Sussex,South East,E12000008,E10000011,0.36173795890872346,,0.10037925778896253,0.10904344897271809,,0.034469925211781806,0.004210171775008421,,0.0005493921241980647,2669,9207,50,4296,1295,11876,68302,9960,81,3240,0.174,0.362,0.146,2.481,,,56426
Essex,East of England,E12000006,E10000012,0.25204702304363086,,0.06391993844707089,0.09047841852848286,,0.02903460215007801,0.002047023043630834,,0.0004915685310649939,8634,25562,70,8619,3094,34196,221352,20582,162,8528,0.154,0.252,0.093,2.711,,,187156
Gloucestershire,South West,E12000009,E10000013,0.23913709627995342,,0.05250082590023125,0.0864129435558007,,0.023138420878757848,0.003861003861003861,,0.00046250412950115625,3855,12462,63,3902,1410,16317,91992,7875,98,3161,0.177,0.239,0.086,2.793,,,75675
Hampshire,South East,E12000008,E10000014,0.2691047861345206,,0.054518483511867256,0.09410081093973605,,0.023826402016383114,0.0023851168707266657,,0.00032162360848561226,9268,22177,75,8462,2959,31445,183797,16768,124,6589,0.171,0.269,0.091,2.95,,,152352
Hertfordshire,East of England,E12000006,E10000015,0.18638989281191115,,0.03808356731547138,0.0778426466499861,,0.02049921477180793,0.0027492045840669696,,0.00045210108028363396,7157,25216,89,6034,2520,32373,200477,12436,165,5966,0.161,0.186,0.062,3.005,,,168104
Kent,South East,E12000008,E10000016,0.19773603682050006,,0.04305174777244688,0.07826844134842642,,0.022408803594547253,0.0005970891901977858,,8.567511994516793e-05,12243,27952,24,7948,3146,40195,250291,16993,42,7854,0.161,0.198,0.068,2.912,,,210096
Lancashire,North West,E12000002,E10000017,0.22809292674793435,,0.06939215712544045,0.08125532624402534,,0.031678300129955386,0.006558227425988366,,0.0017617663214587157,6874,20115,177,6156,2193,26989,176271,16515,440,6922,0.153,0.228,0.094,2.435,,,149282
Leicestershire,East Midlands,E12000004,E10000018,0.21930408472012103,,0.05716657771452292,0.07576399394856279,,0.0229377928008065,0.0017549167927382754,,0.00045069086164976576,4133,12392,29,3624,1252,16525,100840,8444,67,3186,0.164,0.219,0.084,2.619,,,84315
Lincolnshire,East Midlands,E12000004,E10000019,0.2979646812331637,,0.08311530133525803,0.0977252319664771,,0.031464272825694695,0.004240247430908909,,0.0009022013713460845,5123,14923,85,5973,1959,20046,108718,13343,165,4749,0.184,0.298,0.123,2.428,,,88672
Norfolk,East of England,E12000006,E10000020,0.3278150354077756,,0.0820977569536492,0.10514467945411059,,0.030280611982778993,0.006378089387046851,,0.0008836554565724444,4899,16424,136,6990,2242,21323,118646,14980,222,5189,0.18,0.328,0.126,2.596,,,97323
North Yorkshire,Yorkshire and The Humber,E12000003,E06000065,0.28218339307048984,,0.06339680209547659,0.08512544802867383,,0.023933911892117497,0.0031362007168458782,,0.0004749363153577134,3200,10192,42,3779,1140,13392,82875,8184,75,2803,0.162,0.282,0.099,2.858,,,69483
Nottinghamshire,East Midlands,E12000004,E10000024,0.32158618899273106,,0.07889908256880734,0.10111630321910696,,0.029010421305780708,0.004023883696780893,,0.000570054333303643,2316,13092,62,4955,1558,15408,127678,13813,126,4815,0.121,0.322,0.108,2.973,,,112270
Oxfordshire,South East,E12000008,E10000025,0.2826236810011135,,0.04706345205748921,0.09226364070205208,,0.020089258271143513,0.0009014263746752214,,7.376716623430911e-05,3940,14919,17,5330,1740,18859,100196,9158,23,3374,0.188,0.283,0.091,3.092,,,81337
Somerset,South West,E12000009,E06000066,0.4441183868533579,,0.09345269556025369,0.13314328833738576,,0.03230708245243129,0.0055336631172968895,,0.0004789904862579281,2955,8972,66,5297,1588,11927,72471,10955,95,3544,0.165,0.444,0.151,2.938,,,60544
Staffordshire,West Midlands,E12000005,E10000028,0.22644704433497537,,0.0685905836324616,0.0827175697865353,,0.028849258351850798,0.005644499178981938,,0.0011395362087630334,4894,14594,110,4413,1612,19488,124794,11636,230,4650,0.156,0.226,0.093,2.429,,,105306
Suffolk,East of England,E12000006,E10000029,0.29259259259259257,,0.0688892217984028,0.09475783475783475,,0.025755672586053907,0.005128205128205128,,0.0009103794784332254,4137,13413,90,5135,1663,17550,104327,11113,169,3898,0.168,0.293,0.107,2.747,,,86777
Surrey,South East,E12000008,E10000030,0.23522454516993077,,0.03983924385070517,0.08557414686749922,,0.019134447214676442,0.0032699064250182627,,0.0003572358873218472,8319,20428,94,6762,2460,28747,163112,12115,142,5031,0.176,0.235,0.074,3.167,,,134365
Warwickshire,West Midlands,E12000005,E10000031,0.25183504604297346,,0.057586502017361534,0.09161884425463766,,0.023746450938039152,0.004003736821032964,,0.0009645297577807665,3475,11511,60,3774,1373,14986,88597,8013,131,3121,0.169,0.252,0.09,2.784,,,73611
West Sussex,South East,E12000008,E10000032,0.19553632429970394,,0.04253703395472703,0.07483488954680027,,0.021034454061251665,0.002505124117513095,,0.0003432922769640479,4823,17132,55,4293,1643,21955,118083,8382,88,3665,0.186,0.196,0.071,2.755,,,96128
Worcestershire,West Midlands,E12000005,E10000034,0.16805817398330192,,0.04182081865806375,0.072111500134662,,0.022641844496403944,0.0035012119579854563,,0.0010211027910142954,3292,11560,52,2496,1071,14852,82426,5322,121,2601,0.18,0.168,0.065,2.603,,,67574
