la_name,region_name,region_code,Row Labels,LA_susp_rate,Region_susp_rate,NonSEND_susp_rate,LA_oneplus_rate,REG_Total_susp_rate,NonSEND_oneplus_rate,LA_perm_excl_rate,REG_Overrepresentation,NonSEND_perm_excl_rate,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,Total_susp_rate,Overrepresentation,Regions,REG_SEND_pct_students,NonSEND_Headcount
Bath and North East Somerset,South West,E12000009,E06000022,0.27757125154894674,,0.05326331582895724,0.10285006195786865,,0.02506508980186223,0.0030978934324659233,,0.0010590883014871364,1412,3430,15,1344,498,4842,27503,2551,39,1066,0.176,0.278,0.093,2.993,,,22661
"Bristol, City of",South West,E12000009,E06000023,0.3437806072477963,,0.0958457507450447,0.09965719882468169,,0.031181870912254734,0.002285341168788769,,0.00016000960057603456,2722,9530,28,4212,1221,12252,62249,9004,36,2780,0.197,0.344,0.145,2.377,,,49997
North Somerset,South West,E12000009,E06000024,0.29905307201057035,,0.05048442778128364,0.10085884166483154,,0.02253238798767586,0.003963884606914776,,0.0006310553472660455,1097,3444,18,1358,458,4541,31480,2718,35,1065,0.144,0.299,0.086,3.464,,,26939
South Gloucestershire,South West,E12000009,E06000025,0.3649240654205608,,0.06672324485674988,0.10455607476635514,,0.024904158496971116,0.0024824766355140185,,0.0004389687161628281,1695,5153,17,2499,716,6848,41019,4779,32,1567,0.167,0.365,0.117,3.132,,,34171
Plymouth,South West,E12000009,E06000026,0.32161016949152543,,0.09037389616083172,0.1001412429378531,,0.030782238366631177,0.0032485875706214687,,0.0009081230036951212,1608,5472,23,2277,709,7080,39014,5163,52,1692,0.181,0.322,0.132,2.43,,,31934
Torbay,South West,E12000009,E06000027,0.4292237442922374,,0.08780517283055354,0.12651087832393232,,0.027858351462412376,0.0069836153639538006,,0.0014503263234227702,1220,2503,26,1598,471,3723,20271,3051,50,932,0.184,0.429,0.151,2.852,,,16548
Swindon,South West,E12000009,E06000030,0.2432391599939568,,0.06668422092028174,0.08415168454449312,,0.026825093805542755,0.004230246260764466,,0.0007899414126785597,1818,4801,28,1610,557,6619,37001,3636,52,1372,0.179,0.243,0.098,2.475,,,30382
Peterborough,East of England,E12000006,E06000031,0.3138487680543755,,0.08813803019410496,0.10756159728122346,,0.03890726096333573,0.004587935429056924,,0.0008914450035945363,1542,4343,27,1847,633,5885,40660,4912,58,1986,0.145,0.314,0.121,2.598,,,34775
Luton,East of England,E12000006,E06000032,0.12237812816432808,,0.04234666019535279,0.05858527412122089,,0.02563246981738761,0.0010125849848112252,,0.00045501425711338956,1677,5236,7,846,405,6913,39879,2242,22,1250,0.173,0.122,0.056,2.177,,,32966
Southend-on-Sea,East of England,E12000006,E06000033,0.20009252833680313,,0.04666864519958451,0.07402266944251677,,0.02181332541920166,0.004163775156141568,,0.0005193648909333729,1261,3062,18,865,320,4323,31279,2123,32,908,0.138,0.2,0.068,2.948,,,26956
Thurrock,East of England,E12000006,E06000034,0.17063020214030916,,0.04824412508015541,0.07193816884661118,,0.024706725510165593,0.0013872374157748713,,0.00041492210780430766,1571,3475,7,861,363,5046,31557,2140,18,1018,0.16,0.171,0.068,2.516,,,26511
Medway,South East,E12000008,E06000035,0.19812096300645918,,0.059665871121718374,0.07433940105695831,,0.025254493205396716,0.0015267175572519084,,0.0010471969217281185,1880,6635,13,1687,633,8515,49577,4137,56,1670,0.172,0.198,0.083,2.374,,,41062
Bracknell Forest,South East,E12000008,E06000036,0.27514990006662227,,0.06903315616299671,0.08094603597601599,,0.02600607441154138,0.0016655562958027982,,0.00031637560111364213,766,2236,5,826,243,3002,18806,1917,10,654,0.16,0.275,0.102,2.699,,,15804
West Berkshire,South East,E12000008,E06000037,0.3032554074721433,,0.08046906591184796,0.09547738693467336,,0.024217100238127332,0.003277255844439589,,0.0006739452756436178,1248,3329,15,1388,437,4577,26834,3179,30,976,0.171,0.303,0.118,2.56,,,22257
Reading,South East,E12000008,E06000038,0.27124505928853754,,0.03347860538827258,0.10276679841897234,,0.01644215530903328,0.002717391304347826,,9.904912836767037e-05,940,3108,11,1098,416,4048,24240,1774,13,748,0.167,0.271,0.073,3.706,,,20192
Slough,South East,E12000008,E06000039,0.11358237961563378,,0.02750156456435575,0.05031310732023321,,0.017140671719630067,0.0030231051608723817,,0.0005562895487101036,1208,3423,14,526,233,4631,33393,1317,30,726,0.139,0.114,0.039,2.88,,,28762
Windsor and Maidenhead,South East,E12000008,E06000040,0.20842696629213484,,0.033069130229384285,0.07696629213483146,,0.01894913652826623,0.003651685393258427,,0.0004724161461340612,1050,2510,13,742,274,3560,22611,1372,22,635,0.157,0.208,0.061,3.435,,,19051
Wokingham,South East,E12000008,E06000041,0.15308582449373193,,0.020391357201678364,0.055930568948891035,,0.009764322967726755,0.0014464802314368371,,0.00039214148464766086,1213,2935,6,635,232,4148,29649,1155,16,481,0.14,0.153,0.039,3.93,,,25501
Milton Keynes,South East,E12000008,E06000042,0.31478472786352557,,0.08486306863756159,0.08705659355537504,,0.027890454910049274,0.0,,0.0,1880,5506,0,2325,643,7386,51021,6028,0,1860,0.145,0.315,0.118,2.664,,,43635
Brighton and Hove,South East,E12000008,E06000043,0.14322169059011164,,0.028384454793640598,0.06539074960127592,,0.015858358760237674,0.0003189792663476874,,0.0,1451,4819,2,898,410,6270,31178,1605,2,805,0.201,0.143,0.051,2.782,,,24908
Portsmouth,South East,E12000008,E06000044,0.31890874882408277,,0.08756214448873562,0.09576669802445908,,0.03180006270434899,0.0015051740357478834,,0.0001791552828414028,1359,3956,8,1695,509,5315,27642,3650,12,1219,0.192,0.319,0.132,2.415,,,22327
Southampton,South East,E12000008,E06000045,0.24875912408759124,,0.07123765684163635,0.08861313868613138,,0.027915955156284804,0.003357664233576642,,0.0006682010542727745,1738,5112,23,1704,607,6850,33788,3623,41,1359,0.203,0.249,0.107,2.32,,,26938
Isle of Wight,South East,E12000008,E06000046,0.21065778517901748,,0.05542497535825309,0.08187621426588954,,0.023580256274167866,0.0019428254232583958,,0.0004549245583440746,1048,2555,7,759,295,3603,16792,1490,13,606,0.215,0.211,0.089,2.374,,,13189
County Durham,North East,E12000001,E06000047,0.207920064653589,,0.06489112227805695,0.07721695687311733,,0.026750418760469012,0.0027918595253838808,,0.0007872696817420435,2939,10672,38,2830,1051,13611,73311,6704,85,2648,0.186,0.208,0.091,2.274,,,59700
Cheshire East,North West,E12000002,E06000049,0.18722439208769057,,0.04599059005641892,0.0713115786821217,,0.01979754363810416,0.0027718281466549075,,0.0005906674542232723,2571,5366,22,1486,566,7937,57034,3744,51,1538,0.139,0.187,0.066,2.852,,,49097
Cheshire West and Chester,North West,E12000002,E06000050,0.1929803828882061,,0.05193039068802582,0.07078704797920113,,0.02074449694594906,0.004017962656582368,,0.00041488993891898124,2361,6101,34,1633,599,8462,51847,3886,52,1499,0.163,0.193,0.075,2.575,,,43385
Shropshire,West Midlands,E12000005,E06000051,0.3141683778234086,,0.06940766965162289,0.08861159374506397,,0.027638116205039715,0.0078976465013426,,0.0008330110373962455,1309,5022,50,1989,561,6331,39944,4322,78,1490,0.158,0.314,0.108,2.904,,,33613
Cornwall,South West,E12000009,E06000052,0.27178881008668243,,0.06637993994968758,0.09763593380614657,,0.02765560334334172,0.006934594168636721,,0.0012172360626470826,2305,10385,88,3449,1239,12690,74305,7539,163,2943,0.171,0.272,0.101,2.679,,,61615
Isles of Scilly,South West,E12000009,E06000053,0.043478260869565216,,0.0,0.043478260869565216,,0.0,0.0,,0.0,9,14,0,1,1,23,263,1,0,1,0.087,0.043,0.004,11.435,,,240
Wiltshire,South West,E12000009,E06000054,0.2628305986363977,,0.05692616162496731,0.08713568592193002,,0.023398134425943684,0.0002247696111485727,,1.7435271554354458e-05,3196,10151,3,3508,1163,13347,70702,6773,4,2505,0.189,0.263,0.096,2.744,,,57355
Bedford,East of England,E12000006,E06000055,0.205836489195812,,0.05614852675886951,0.08442860325239475,,0.027773601924233313,0.005346402316774337,,0.0008644016837041492,1232,3257,24,924,379,4489,31097,2418,47,1118,0.144,0.206,0.078,2.647,,,26608
