LA_REG_Overrepresentation,LA_REG_SEND_pct_students,LA_REG_SEND_susp_rate,LA_REG_Total_susp_rate,Overrepresentation,REG_Overrepresentation,REG_SEND_pct_students,REG_SEND_susp_rate,REG_Total_susp_rate,Regions,Row Labels,SEND one_plus_susp,SEND perm_excl,SEND suspensions,SEND_pct_students,SEND_susp_rate,Sum of SEN_EHC,Sum of SEN_Support,Total Headcount,Total One Plus Suspensions,Total Permanent Exclusion,Total Suspension,Total_SEND Headcount,Total_susp_rate,la_name,region_code,region_name
,,,,2.88,,,,,,E06000039,233,14,526,0.139,0.114,1208,3423,33393,726,30,1317,4631,0.039,Slough,E12000008,South East
,,,,3.435,,,,,,E06000040,274,13,742,0.157,0.208,1050,2510,22611,635,22,1372,3560,0.061,Windsor and Maidenhead,E12000008,South East
,,,,3.93,,,,,,E06000041,232,6,635,0.14,0.153,1213,2935,29649,481,16,1155,4148,0.039,Wokingham,E12000008,South East
,,,,2.664,,,,,,E06000042,643,0,2325,0.145,0.315,1880,5506,51021,1860,0,6028,7386,0.118,Milton Keynes,E12000008,South East
,,,,2.782,,,,,,E06000043,410,2,898,0.201,0.143,1451,4819,31178,805,2,1605,6270,0.051,Brighton and Hove,E12000008,South East
,,,,2.415,,,,,,E06000044,509,8,1695,0.192,0.319,1359,3956,27642,1219,12,3650,5315,0.132,Portsmouth,E12000008,South East
,,,,2.32,,,,,,E06000045,607,23,1704,0.203,0.249,1738,5112,33788,1359,41,3623,6850,0.107,Southampton,E12000008,South East
,,,,2.374,,,,,,E06000046,295,7,759,0.215,0.211,1048,2555,16792,606,13,1490,3603,0.089,Isle of Wight,E12000008,South East
,,,,2.274,,,,,,E06000047,1051,38,2830,0.186,0.208,2939,10672,73311,2648,85,6704,13611,0.091,County Durham,E12000001,North East
,,,,2.852,,,,,,E06000049,566,22,1486,0.139,0.187,2571,5366,57034,1538,51,3744,7937,0.066,Cheshire East,E12000002,North West
,,,,2.575,,,,,,E06000050,599,34,1633,0.163,0.193,2361,6101,51847,1499,52,3886,8462,0.075,Cheshire West and Chester,E12000002,North West
,,,,2.904,,,,,,E06000051,561,50,1989,0.158,0.314,1309,5022,39944,1490,78,4322,6331,0.108,Shropshire,E12000005,West Midlands
,,,,2.679,,,,,,E06000052,1239,88,3449,0.171,0.272,2305,10385,74305,2943,163,7539,12690,0.101,Cornwall,E12000009,South West
,,,,11.435,,,,,,E06000053,1,0,1,0.087,0.043,9,14,263,1,0,1,23,0.004,Isles of Scilly,E12000009,South West
,,,,2.744,,,,,,E06000054,1163,3,3508,0.189,0.263,3196,10151,70702,2505,4,6773,13347,0.096,Wiltshire,E12000009,South West
,,,,2.647,,,,,,E06000055,379,24,924,0.144,0.206,1232,3257,31097,1118,47,2418,4489,0.078,Bedford,E12000006,East of England
