time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,ass_nodecision,ass_nodecision_ehc,ass_none,ass_none_ehc,ass_none_ehc_pc,ass_refused,ass_refused_ehc,ass_refused_ehc_pc,assessment_mediation,assessment_tribunal,assessment_w,assessments,direct_pay_education,direct_pay_health,direct_pay_integrated,direct_pay_socialcare,discontinued_abroad,discontinued_age,discontinued_deceased,discontinued_employment,discontinued_unknown,discontinued_engage,discontinued_he,discontinued_lea,discontinued_lea_ehc,discontinued_lea_noncomp,discontinued_left,discontinued_left_ehc,discontinued_met,discontinued_met_ehc,discontinued_met_noncomp,discontinued_other,discontinued_other_ehc,discontinued_other_noncomp,discontinued_total,inc_exc_20week_ehc,inc_exc_20week_rate,inc_exc_26week,inreq_ehc,inreq_ehc_a,inreq_ehc_w,inreq_ehc_y,inreq_rya_ehc,mainstream_to_home,mainstream_to_home_ehc,mainstream_to_special,mainstream_to_special_ehc,new_all_ehc,new_all_ehc_ass_none_ehc_sum,new_all_ehc_pc,no_exc_20week_ehc,no_exc_20week_rate,no_exc_26week,org_arrangements,other_mediation,other_tribunal,total_tribunal,personal_budgets,request_mediation,request_tribunal,special_to_home,special_to_home_ehc,special_to_mainstream,special_to_mainstream_ehc,statements_no_ehc,statements_to_ehc,tot_inc_exc,tot_inc_exc_ehc,tot_no_exc,tot_no_exc_ehc,total_mediation,total_tribunal_followed_mediation,total_tribunal_pc
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E10000016,886,Kent,z,,z,164,7.6564,z,1244,31.1936,19,137,38,2180,34,0,0,0,26,162,20,245,0,619,115,z,194,102,z,z,z,28,62,z,2,426,2001,324,17.9601,z,3988,155,14,2575,0,z,z,z,z,1978,2142,92.34,324,18.0401,z,0,3,140,482,34,34,205,z,z,z,z,z,z,z,1804,z,1796,56,,z
2023,Calendar year,Local authority,E92000001,England,E12000008,South East,E06000039,871,Slough,z,,z,6,2.8846,z,50,12.0192,7,3,0,208,1,0,0,0,1,1,2,2,0,6,0,z,46,12,z,z,z,0,0,z,2,1,73,39,20.2073,z,416,86,1,279,0,z,z,z,z,202,208,97.12,34,18.4783,z,0,0,0,11,1,24,8,z,z,z,z,z,z,z,193,z,184,31,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,z,,z,39,16.6667,z,38,10.585,18,3,5,239,6,1,1,58,1,0,2,4,0,42,3,z,40,29,z,z,z,3,3,z,0,1,128,165,84.6154,z,359,6,47,268,0,z,z,z,z,195,234,83.33,164,84.9741,z,0,8,2,5,66,5,0,z,z,z,z,z,z,z,195,z,193,31,,z
2023,Calendar year,Local authority,E92000001,England,E12000007,London,E09000005,304,Brent,z,,z,19,4,z,176,29.1874,5,6,27,502,13,0,2,235,27,70,2,33,0,251,26,z,100,43,z,z,z,0,7,z,0,0,559,144,37.5,z,603,37,6,384,0,z,z,z,z,456,475,96,135,38.1356,z,166,0,4,20,416,9,10,z,z,z,z,z,z,z,384,z,354,14,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,z,,z,11,2.407,z,247,36.5926,2,3,0,457,29,11,5,72,0,5,3,15,0,85,12,z,22,14,z,z,z,1,14,z,0,0,171,323,74.0826,z,675,9,1,418,2,z,z,z,z,446,457,97.59,323,74.0826,z,48,5,11,20,165,40,6,z,z,z,z,z,z,z,436,z,436,47,,z
2023,Calendar year,Local authority,E92000001,England,E12000009,South West,E06000030,866,Swindon,z,,z,9,2.3622,z,211,32.7132,5,4,0,381,1,0,0,0,1,0,1,0,0,10,1,z,25,19,z,z,z,3,129,z,0,0,189,250,71.2251,z,645,35,15,384,0,z,z,z,z,372,381,97.64,238,73.6842,z,1,0,0,14,2,95,10,z,z,z,z,z,z,z,351,z,323,100,,z
2023,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,z,,z,5,1.2225,z,153,26.5625,2,0,0,409,0,0,1,0,0,11,0,1,0,0,1,z,29,11,z,z,z,0,0,z,0,0,53,183,46.9231,z,576,23,0,400,0,z,z,z,z,404,409,98.78,183,46.9231,z,0,3,6,8,1,30,2,z,z,z,z,z,z,z,390,z,390,35,,z
2023,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,z,,z,3,0.2111,z,301,14.9232,11,9,19,1440,14,0,2,229,1,7,6,32,0,73,14,z,76,49,z,z,z,1,27,z,0,0,286,302,23.0534,z,2017,186,2,1528,1,z,z,z,z,1418,1421,99.79,192,17.7943,z,0,111,90,163,245,102,64,z,z,z,z,z,z,z,1310,z,1079,224,,z
2023,Calendar year,Local authority,E92000001,England,E12000006,East of England,E10000020,926,Norfolk,z,,z,141,5.7062,z,430,17.5941,63,15,0,2471,4,19,8,1974,1,23,8,76,0,198,33,z,61,36,z,z,z,6,36,z,0,0,478,914,42.1976,z,2444,224,0,1790,0,z,z,z,z,2330,2471,94.29,848,42.5917,z,57,26,119,150,61,88,16,z,z,z,z,z,z,z,2166,z,1991,177,,z
2023,Calendar year,Local authority,E92000001,England,E12000009,South West,E06000022,800,Bath and North East Somerset,z,,z,38,10.3542,z,130,23.2143,11,5,0,367,83,3,9,84,0,1,0,6,0,27,1,z,29,7,z,z,z,1,0,z,2,0,74,117,36.9085,z,560,72,0,358,0,z,z,z,z,329,367,89.65,116,39.0572,z,0,9,8,16,179,9,3,z,z,z,z,z,z,z,317,z,297,29,,z
