new_la_code,la_name,region_code,region_name,headcount,TTperm_excl,TTperm_excl_rate,TTsuspension,TTsusp_rate,TTone_plus_susp,TTone_plus_susp_rate,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000022,Bath and North East Somerset,E12000009,South West,27503.0,39.0,0.1418,2551.0,9.27535,1066.0,3.87594,2,0.141643059,502,35.55240793,188,13.31444759,1412.0,,
E06000022,Bath and North East Somerset,E12000009,South West,27503.0,39.0,0.1418,2551.0,9.27535,1066.0,3.87594,13,0.379008746,842,24.54810496,310,9.037900875,,3430.0,
E06000022,Bath and North East Somerset,E12000009,South West,27503.0,39.0,0.1418,2551.0,9.27535,1066.0,3.87594,24,0.10590883,1207,5.326331583,568,2.50650898,,,22661.0
E06000023,"Bristol, City of",E12000009,South West,62249.0,36.0,0.05783,9004.0,14.46449,2780.0,4.46594,6,0.220426157,895,32.88023512,300,11.02130786,2722.0,,
E06000023,"Bristol, City of",E12000009,South West,62249.0,36.0,0.05783,9004.0,14.46449,2780.0,4.46594,8,0.01600096,4792,9.584575075,1559,3.118187091,,,49997.0
E06000023,"Bristol, City of",E12000009,South West,62249.0,36.0,0.05783,9004.0,14.46449,2780.0,4.46594,22,0.230849948,3317,34.80587618,921,9.664218258,,9530.0,
E06000024,North Somerset,E12000009,South West,31480.0,35.0,0.11118,2718.0,8.63405,1065.0,3.3831,1,0.091157703,230,20.96627165,98,8.933454877,1097.0,,
E06000024,North Somerset,E12000009,South West,31480.0,35.0,0.11118,2718.0,8.63405,1065.0,3.3831,17,0.063105535,1360,5.048442778,607,2.253238799,,,26939.0
E06000024,North Somerset,E12000009,South West,31480.0,35.0,0.11118,2718.0,8.63405,1065.0,3.3831,17,0.493612079,1128,32.75261324,360,10.45296167,,3444.0,
E06000025,South Gloucestershire,E12000009,South West,41019.0,32.0,0.07801,4779.0,11.6507,1567.0,3.82018,4,0.235988201,510,30.08849558,171,10.08849558,1695.0,,
