la_name,region_name,region_code,Row Labels,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,LA_susp_rate,REG_susp_rate,SEND one_plus_susp rate,LA_one_plus_rate,REG_one_plus_rate,SEND exclusion rate,LA_excl_rate,REG_excl_rate,LA_Overrepresentation,REG_Overrepresentation,
Luton,East of England,E12000006,E06000032,1677,5236,7,846,405,6913,39879,2242,22,1250,0.173,0.122,0.056,0.242,0.059,0.031,0.088025734,0.001,0.001,0.003330192,2.177,2.783,
Southend-on-Sea,East of England,E12000006,E06000033,1261,3062,18,865,320,4323,31279,2123,32,908,0.138,0.2,0.068,0.242,0.074,0.029,0.088025734,0.004,0.001,0.003330192,2.948,2.783,
Thurrock,East of England,E12000006,E06000034,1571,3475,7,861,363,5046,31557,2140,18,1018,0.16,0.171,0.068,0.242,0.072,0.032,0.088025734,0.001,0.001,0.003330192,2.516,2.783,
Medway,South East,E12000008,E06000035,1880,6635,13,1687,633,8515,49577,4137,56,1670,0.172,0.198,0.083,0.234,0.074,0.034,0.083520144,0.002,0.001,0.001988941,2.374,2.914,
Bracknell Forest,South East,E12000008,E06000036,766,2236,5,826,243,3002,18806,1917,10,654,0.16,0.275,0.102,0.234,0.081,0.035,0.083520144,0.002,0.001,0.001988941,2.699,2.914,
West Berkshire,South East,E12000008,E06000037,1248,3329,15,1388,437,4577,26834,3179,30,976,0.171,0.303,0.118,0.234,0.095,0.036,0.083520144,0.003,0.001,0.001988941,2.56,2.914,
Reading,South East,E12000008,E06000038,940,3108,11,1098,416,4048,24240,1774,13,748,0.167,0.271,0.073,0.234,0.103,0.031,0.083520144,0.003,0.001,0.001988941,3.706,2.914,
Slough,South East,E12000008,E06000039,1208,3423,14,526,233,4631,33393,1317,30,726,0.139,0.114,0.039,0.234,0.05,0.022,0.083520144,0.003,0.001,0.001988941,2.88,2.914,
Windsor and Maidenhead,South East,E12000008,E06000040,1050,2510,13,742,274,3560,22611,1372,22,635,0.157,0.208,0.061,0.234,0.077,0.028,0.083520144,0.004,0.001,0.001988941,3.435,2.914,
Wokingham,South East,E12000008,E06000041,1213,2935,6,635,232,4148,29649,1155,16,481,0.14,0.153,0.039,0.234,0.056,0.016,0.083520144,0.001,0.001,0.001988941,3.93,2.914,
Milton Keynes,South East,E12000008,E06000042,1880,5506,0,2325,643,7386,51021,6028,0,1860,0.145,0.315,0.118,0.234,0.087,0.036,0.083520144,0,0,0.001988941,2.664,2.914,
Brighton and Hove,South East,E12000008,E06000043,1451,4819,2,898,410,6270,31178,1605,2,805,0.201,0.143,0.051,0.234,0.065,0.026,0.083520144,0,0,0.001988941,2.782,2.914,
Portsmouth,South East,E12000008,E06000044,1359,3956,8,1695,509,5315,27642,3650,12,1219,0.192,0.319,0.132,0.234,0.096,0.044,0.083520144,0.002,0,0.001988941,2.415,2.914,
Southampton,South East,E12000008,E06000045,1738,5112,23,1704,607,6850,33788,3623,41,1359,0.203,0.249,0.107,0.234,0.089,0.04,0.083520144,0.003,0.001,0.001988941,2.32,2.914,
Isle of Wight,South East,E12000008,E06000046,1048,2555,7,759,295,3603,16792,1490,13,606,0.215,0.211,0.089,0.234,0.082,0.036,0.083520144,0.002,0.001,0.001988941,2.374,2.914,
County Durham,North East,E12000001,E06000047,2939,10672,38,2830,1051,13611,73311,6704,85,2648,0.186,0.208,0.091,0.314,0.077,0.036,0.085951252,0.003,0.001,0.004858915,2.274,2.131,
Cheshire East,North West,E12000002,E06000049,2571,5366,22,1486,566,7937,57034,3744,51,1538,0.139,0.187,0.066,0.216,0.071,0.027,0.077780924,0.003,0.001,0.004331668,2.852,2.384,
Cheshire West and Chester,North West,E12000002,E06000050,2361,6101,34,1633,599,8462,51847,3886,52,1499,0.163,0.193,0.075,0.216,0.071,0.029,0.077780924,0.004,0.001,0.004331668,2.575,2.384,
Shropshire,West Midlands,E12000005,E06000051,1309,5022,50,1989,561,6331,39944,4322,78,1490,0.158,0.314,0.108,0.209,0.089,0.037,0.07995205,0.008,0.002,0.001298713,2.904,2.446,
Cornwall,South West,E12000009,E06000052,2305,10385,88,3449,1239,12690,74305,7539,163,2943,0.171,0.272,0.101,0.324,0.098,0.04,0.099914885,0.007,0.002,0.001231018,2.679,2.774,
Isles of Scilly,South West,E12000009,E06000053,9,14,0,1,1,23,263,1,0,1,0.087,0.043,0.004,0.324,0.043,0.004,0.099914885,0,0,0.001231018,11.435,2.774,
Wiltshire,South West,E12000009,E06000054,3196,10151,3,3508,1163,13347,70702,6773,4,2505,0.189,0.263,0.096,0.324,0.087,0.035,0.099914885,0,0,0.001231018,2.744,2.774,
Bedford,East of England,E12000006,E06000055,1232,3257,24,924,379,4489,31097,2418,47,1118,0.144,0.206,0.078,0.242,0.084,0.036,0.088025734,0.005,0.002,0.003330192,2.647,2.783,
Central Bedfordshire,East of England,E12000006,E06000056,2317,5677,37,1948,717,7994,47756,3821,73,1541,0.167,0.244,0.08,0.242,0.09,0.032,0.088025734,0.005,0.002,0.003330192,3.046,2.783,
Northumberland,North East,E12000001,E06000057,2260,5952,33,2616,704,8212,45428,6149,89,1841,0.181,0.319,0.135,0.314,0.086,0.041,0.085951252,0.004,0.002,0.004858915,2.353,2.131,
"Bournemouth, Christchurch and Poole",South West,E12000009,E06000058,2240,7035,66,2904,866,9275,52815,5787,119,1837,0.176,0.313,0.11,0.324,0.093,0.035,0.099914885,0.007,0.002,0.001231018,2.858,2.774,
Dorset,South West,E12000009,E06000059,2304,7021,23,2090,740,9325,48299,4278,57,1751,0.193,0.224,0.089,0.324,0.079,0.036,0.099914885,0.002,0.001,0.001231018,2.53,2.774,
