la_name,region_name,region_code,Row Labels,Sum of SEN_EHC,Sum of SEN_Support,SEND perm_excl,SEND suspensions,SEND one_plus_susp,Total_SEND Headcount,Total Headcount,Total Suspension,Total Permanent Exclusion,Total One Plus Suspensions,SEND_pct_students,SEND_susp_rate,LA_susp_rate,REG_susp_rate,SEND one_plus_susp rate,LA_one_plus_rate,REG_one_plus_rate,SEND exclusion rate,LA_excl_rate,REG_excl_rate,LA_Overrepresentation,REG_Overrepresentation,
Buckinghamshire,South East,E12000008,E06000060,4060,9635,16,2407,938,13695,89262,4949,33,2322,0.153,0.176,0.055,0.234,0.068,0.026,0.083520144,0.001,0,0.001988941,3.17,2.914,
Cambridgeshire,East of England,E12000006,E10000003,4841,10504,15,3711,1353,15345,90876,7203,22,2913,0.169,0.242,0.079,0.242,0.088,0.032,0.088025734,0.001,0,0.003330192,3.051,2.783,
Westmoreland & Furness,North West,E12000002,E06000064,1533,4337.5,16.5,948,379,5870.5,35196,2345,41.5,1090.5,0.167,0.161,0.067,0.216,0.065,0.031,0.077780924,0.003,0.001,0.004331668,2.424,2.384,
Cumberland,North West,E12000002,E06000063,1533,4337.5,16.5,948,379,5870.5,35196,2345,41.5,1090.5,0.167,0.161,0.067,0.216,0.065,0.031,0.077780924,0.003,0.001,0.004331668,2.424,2.384,
Derbyshire,East Midlands,E12000004,E10000007,3345,16022,109,5872,1757,19367,108568,12344,187,4083,0.178,0.303,0.114,0.279,0.091,0.038,0.089262461,0.006,0.002,0.003770809,2.667,2.624,
Devon,South West,E12000009,E10000008,5081,14593,118,8915,2199,19674,101017,16147,170,4464,0.195,0.453,0.16,0.324,0.112,0.044,0.099914885,0.006,0.002,0.001231018,2.835,2.774,
East Sussex,South East,E12000008,E10000011,2669,9207,50,4296,1295,11876,68302,9960,81,3240,0.174,0.362,0.146,0.234,0.109,0.047,0.083520144,0.004,0.001,0.001988941,2.481,2.914,
Essex,East of England,E12000006,E10000012,8634,25562,70,8619,3094,34196,221352,20582,162,8528,0.154,0.252,0.093,0.242,0.09,0.039,0.088025734,0.002,0.001,0.003330192,2.711,2.783,
Gloucestershire,South West,E12000009,E10000013,3855,12462,63,3902,1410,16317,91992,7875,98,3161,0.177,0.239,0.086,0.324,0.086,0.034,0.099914885,0.004,0.001,0.001231018,2.793,2.774,
Hampshire,South East,E12000008,E10000014,9268,22177,75,8462,2959,31445,183797,16768,124,6589,0.171,0.269,0.091,0.234,0.094,0.036,0.083520144,0.002,0.001,0.001988941,2.95,2.914,
Hertfordshire,East of England,E12000006,E10000015,7157,25216,89,6034,2520,32373,200477,12436,165,5966,0.161,0.186,0.062,0.242,0.078,0.03,0.088025734,0.003,0.001,0.003330192,3.005,2.783,
Kent,South East,E12000008,E10000016,12243,27952,24,7948,3146,40195,250291,16993,42,7854,0.161,0.198,0.068,0.234,0.078,0.031,0.083520144,0.001,0,0.001988941,2.912,2.914,
Lancashire,North West,E12000002,E10000017,6874,20115,177,6156,2193,26989,176271,16515,440,6922,0.153,0.228,0.094,0.216,0.081,0.039,0.077780924,0.007,0.002,0.004331668,2.435,2.384,
Leicestershire,East Midlands,E12000004,E10000018,4133,12392,29,3624,1252,16525,100840,8444,67,3186,0.164,0.219,0.084,0.279,0.076,0.032,0.089262461,0.002,0.001,0.003770809,2.619,2.624,
Lincolnshire,East Midlands,E12000004,E10000019,5123,14923,85,5973,1959,20046,108718,13343,165,4749,0.184,0.298,0.123,0.279,0.098,0.044,0.089262461,0.004,0.002,0.003770809,2.428,2.624,
Norfolk,East of England,E12000006,E10000020,4899,16424,136,6990,2242,21323,118646,14980,222,5189,0.18,0.328,0.126,0.242,0.105,0.044,0.088025734,0.006,0.002,0.003330192,2.596,2.783,
North Yorkshire,Yorkshire and The Humber,E12000003,E06000065,3200,10192,42,3779,1140,13392,82875,8184,75,2803,0.162,0.282,0.099,0.31,0.085,0.034,0.09166672,0.003,0.001,0.003528862,2.858,2.327,
Nottinghamshire,East Midlands,E12000004,E10000024,2316,13092,62,4955,1558,15408,127678,13813,126,4815,0.121,0.322,0.108,0.279,0.101,0.038,0.089262461,0.004,0.001,0.003770809,2.973,2.624,
Oxfordshire,South East,E12000008,E10000025,3940,14919,17,5330,1740,18859,100196,9158,23,3374,0.188,0.283,0.091,0.234,0.092,0.034,0.083520144,0.001,0,0.001988941,3.092,2.914,
Somerset,South West,E12000009,E06000066,2955,8972,66,5297,1588,11927,72471,10955,95,3544,0.165,0.444,0.151,0.324,0.133,0.049,0.099914885,0.006,0.001,0.001231018,2.938,2.774,
Staffordshire,West Midlands,E12000005,E10000028,4894,14594,110,4413,1612,19488,124794,11636,230,4650,0.156,0.226,0.093,0.209,0.083,0.037,0.07995205,0.006,0.002,0.001298713,2.429,2.446,
Suffolk,East of England,E12000006,E10000029,4137,13413,90,5135,1663,17550,104327,11113,169,3898,0.168,0.293,0.107,0.242,0.095,0.037,0.088025734,0.005,0.002,0.003330192,2.747,2.783,
Surrey,South East,E12000008,E10000030,8319,20428,94,6762,2460,28747,163112,12115,142,5031,0.176,0.235,0.074,0.234,0.086,0.031,0.083520144,0.003,0.001,0.001988941,3.167,2.914,
Warwickshire,West Midlands,E12000005,E10000031,3475,11511,60,3774,1373,14986,88597,8013,131,3121,0.169,0.252,0.09,0.209,0.092,0.035,0.07995205,0.004,0.001,0.001298713,2.784,2.446,
West Sussex,South East,E12000008,E10000032,4823,17132,55,4293,1643,21955,118083,8382,88,3665,0.186,0.196,0.071,0.234,0.075,0.031,0.083520144,0.003,0.001,0.001988941,2.755,2.914,
Worcestershire,West Midlands,E12000005,E10000034,3292,11560,52,2496,1071,14852,82426,5322,121,2601,0.18,0.168,0.065,0.209,0.072,0.032,0.07995205,0.004,0.001,0.001298713,2.603,2.446,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NE weights,EM weights,EE weights,IL weights,NE weights,OL weights,SE weights,SW weights,WM weights,YH weights,,,0.037,0.001937896,0.001,5.23756E-05,0.065,0.001184776,0.005,9.11367E-05,,0.077,0.005311262,0.002,0.000137955
North East total,72290,0.039479873,0.068977431,0.037860998,0.000863024,0.01822733,0.052375575,0.037235927,0.03496458,0.027641578,0.052644274,,,0.057,0.003789819,0.001,6.6488E-05,0.064,0.001595343,0.002,4.98545E-05,,0.062,0.005049345,0.001,8.1441E-05
East Midlands total,115777,0.067132383,0.081441046,0.04447461,0.052064817,0.02492724,0.066488046,0.013127687,0.088472953,0.035730912,0.048833267,,,0.081,0.003868758,0.002,9.55249E-05,0.068,0.001705184,0.004,0.000100305,,0.077,0.000535383,0.002,1.3906E-05
East England total,155437,0.054945359,0.006953022,0.027811911,0.087629132,0.025076237,0.04776245,0.020015131,0.032791029,0.04709709,0.02699406,,,0.06,0.003167335,0.001,5.27889E-05,0.114,0.002370636,0.006,0.00012477,,0.116,0.007647702,0.006,0.000395571
Inner London total,77634,0.075072624,0.065928466,0.032463313,0.044065744,0.020795049,0.052788911,0.017701824,0.049450113,0.03827621,0.029785123,,,0.059,0.003887085,0.002,0.000131766,0.071,0.002798799,0.003,0.000118259,,0.092,0.006739266,0.005,0.000366264
North West total,201346,0.040060866,0.073252891,0.028879868,0.084138393,0.039419705,0.065882804,0.020251271,0.051125409,0.219633259,0.024292586,,,0.076,0.00582665,0.001,7.66664E-05,0.071,0.002983928,0.004,0.000168109,,0.086,0.007500125,0.003,0.000261632
Outer London total,135483,0.188283303,0.087210759,0.051429196,0.068153129,0.042027157,0.076666445,0.01556781,0.026884166,0.069079763,0.038220335,,,0.053,0.0031937,0.003,0.000180775,0.089,0.003784177,0.008,0.000340151,,0.091,0.015222341,0.006,0.001003671
South East total,228677,0.113598008,0.167278475,0.098721669,0.031133266,0.042518848,0.060258483,0.018139122,0.04779648,0.052622987,0.054181081,,,0.061,0.004130511,0,0,0.079,0.001924523,0.003,7.30832E-05,,0.076,0.010847578,0.002,0.000285463
South West total,138483,0.100954489,0.142731285,0.219999099,0.089612799,0.02436105,0.067713292,0.032298832,0.091635796,0.062078681,0.06264386,,,0.069,0.004316733,0,0,0.09,0.008063284,0.003,0.000268776,,0.098,0.016968033,0.004,0.000692573
West Midlands total,165403,0.075501452,0.173143198,0.208270875,0.09651699,0.089592046,0.062561355,0.027418586,0.000166085,0.042895232,0.108065828,,,0.05,0.001959655,0.003,0.000117579,0.057,0.002336947,0.002,8.19982E-05,,0.101,0.013441426,0.004,0.000532334
Yorkshire Humber total,145106,0.068750865,0.133083428,0.13718098,0.105662467,0.040999076,0.039193109,0.02324239,0.096380061,0.054648344,0.120828911,,,0.062,0.002418532,0.001,3.90086E-05,0.096,0.003094375,0.006,0.000193398,,,0.089262461,,0.003770809
,,0.106612256,,0.11290748,0.102416467,0.032233071,0.039008584,0.029954915,0.06697573,0.052078862,0.040659931,,,0.057,0.003446934,0.001,6.04725E-05,0.089,0.003645382,0.004,0.000163837,,,,,
,,0.069608521,,,0.108792539,0.040959344,0.060472532,0.015755848,0.067336785,0.117821321,0.076220143,,,0.06,0.003575209,0.004,0.000238347,0.084,0.003123936,0.005,0.000185949,,0.002,0.000105289,,
,,,,,0.084022464,0.037189713,0.059586812,0.059887964,0.142067979,0.090602952,0.158180916,,,0.03,0.000895241,0.001,2.98414E-05,0.095,0.003218788,0.003,0.000101646,,0.004,0.000195333,,
0.079,0.00311891,0.002,7.89597E-05,,0.044928768,0.033881974,0.029841382,0.051933513,0.117826737,0.089792809,0.066158532,,,0.059,0.002272765,0.001,3.85214E-05,0.053,0.001721777,0.004,0.000129945,,0.005,0.00013497,,
0.109,0.00731743,0.007,0.000469927,,,0.032486367,0.038521438,0.137508363,0.086126095,,0.092291153,,,0.051,0.002947455,0.002,0.000115586,0.076,0.003405441,0.005,0.000224042,,0.002,5.95702E-05,,
0.113,0.006208826,0.006,0.000329672,,,0.044808439,0.057793229,0.17577194,,,One plus,,,0.049,0.001490438,0.001,3.04171E-05,0.066,0.001515391,0.004,9.18419E-05,,0.003,7.28778E-05,,
0.088,0.006606391,0.006,0.000450436,,,0.022960476,0.0304171,0.082470034,,,0.09166672,,,0.082,0.003281622,0.008,0.000320158,0.077,0.006239667,0.005,0.000405173,,0.01,0.000382203,,
0.096,0.003845843,0.006,0.000240365,,,0.081034637,0.040019781,0.125710063,,0.066,0.001824344,0.001,2.76416E-05,0.059,0.003106272,0.003,0.000157946,0.088,0.002324715,0.003,7.92516E-05,,0.004,0.000216724,,
0.077,0.014497814,0.003,0.00056485,,,0.026417212,0.052648672,0.096008781,,0.083,0.002965666,0.001,3.57309E-05,,0.05951261,,0.001804263,0.056,0.002032005,0.002,7.25716E-05,,0.004,0.000250575,,
0.086,0.009769429,0.004,0.000454392,,,0.036285797,,,,0.113,0.005321971,0.002,9.41942E-05,,,,,0.079,0.004064059,0.003,0.000154331,,0.004,0.000432263,,
0.095,0.009590676,0.003,0.000302863,,,0.051443783,,,,0.089,0.003406583,0.002,7.65524E-05,,,,,0.065,0.001895158,0.003,8.74688E-05,,0.005,0.000604145,,
0.079,0.005964615,0.007,0.00052851,,,0.029156278,,,,0.075,0.016472494,0.001,0.000219633,,,,,0.065,0.001895158,0.003,8.74688E-05,,0.007,0.00028462,,
0.051,0.003506294,0.004,0.000275003,,,0.029156278,,,,0.093,0.006424418,0.001,6.90798E-05,,,,,0.081,0.010857474,0.007,0.0009383,,0.005,0.000381101,,
0.096,0.010234777,0.007,0.000746286,,,0.134042891,,,,0.077,0.00405197,0.002,0.000105246,,,,,,0.077780924,,0.004331668,,0,0,,
0.076,0.005290248,0.006,0.000417651,,,,,,,0.072,0.004469665,0.001,6.20787E-05,,,,,,,,,,0.002,0.000132317,,
,0.085951252,,0.004858915,,,,,,,0.083,0.003560304,0.002,8.57905E-05,,,,,,,,,,0.003,0.000276873,,
,,,,,,,,,,0.061,0.003333549,0.001,5.46483E-05,,,,,,,,,,,0.003528862,,
0,0,0,0,0.108,0.004088988,0.005,0.000189305,,,0.068,0.003541363,0.001,5.20789E-05,,,,,,,,,,,,,
0.056,0.00291563,0.002,0.00010413,0.059,0.002624002,0.001,4.44746E-05,,,0.083,0.00977917,0.002,0.000235643,,,,,,,,,,,,,
0.08,0.007010331,0.002,0.000175258,0.074,0.002058081,0.004,0.000111248,,,0.092,0.008335472,0.001,9.0603E-05,,,,,,,,,,,,,
0.063,0.002776142,0.001,4.40657E-05,0.072,0.002337359,0.001,3.24633E-05,,,0.072,0.006465082,0.001,8.97928E-05,,,,,,,,,,,,,
0.053,0.004459335,0,0,0.084,0.002425909,0.005,0.000144399,,,,0.07995205,,0.001298713,,,,,,,,,,,,,
0.067,0.00456626,0.001,6.81531E-05,0.09,0.004628628,0.005,0.000257146,,0.103,0.003601352,0.001,3.49646E-05,,,,,,,,,,,,,,
0.094,0.002926527,0.002,6.22665E-05,0.088,0.008687507,0.001,9.87217E-05,,0.1,0.008847295,0.001,8.8473E-05,,,,,,,,,,,,,,
0.064,0.005735219,0,0,0.09,0.019799919,0.002,0.000439998,,0.101,0.003311894,0.001,3.2791E-05,,,,,,,,,,,,,,
0.061,0.005887536,0.001,9.6517E-05,0.078,0.016245128,0.003,0.000624813,,0.105,0.005192262,0.001,4.94501E-05,,,,,,,,,,,,,,
0.043,0.004543486,0.002,0.000211325,0.105,0.014404003,0.006,0.000823086,,0.1,0.005112541,0.001,5.11254E-05,,,,,,,,,,,,,,
0.063,0.006452237,0.001,0.000102416,0.095,0.010726211,0.005,0.000564537,,0.127,0.003414289,0.002,5.37683E-05,,,,,,,,,,,,,,
0.034,0.003698946,0,0,,0.088025734,,0.003330192,,0.084,0.004014904,0.001,4.77965E-05,,,,,,,,,,,,,,
0.046,0.003865033,0.001,8.40225E-05,,,,,,0.098,0.008980308,0.002,0.000183272,,,,,,,,,,,,,,
0.081,0.00363923,0.002,8.98575E-05,,,,,,0.043,7.14167E-06,0,0,,,,,,,,,,,,,,
,0.058475913,,0.001038012,,,,,,0.087,0.008385065,0,0,,,,,,,,,,,,,,
,,,,,,,,,0.093,0.006228743,0.002,0.000133951,,,,,,,,,,,,,,
,,,,,,,,,0.079,0.005319606,0.001,6.73368E-05,,,,,,,,,,,,,,
,,,,,,,,,0.112,0.015911614,0.002,0.000284136,,,,,,,,,,,,,,
,,,,,,,,,0.086,0.010133099,0.001,0.000117827,,,,,,,,,,,,,,
,,,,,,,,,0.133,0.011454771,0.001,8.61261E-05,,,,,,,,,,,,,,
,,,,,,,,,,0.099914885,,0.001231018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.074,0.002755459,0.002,7.44719E-05,,,,,,,,,,,,,,,
,,,,,,,,0.081,0.001063343,0.002,2.62554E-05,,,,,,,,,,,,,,,
,,,,,,,,0.095,0.001901437,0.003,6.00454E-05,,,,,,,,,,,,,,,
,,,,,,,,0.103,0.001823288,0.003,5.31055E-05,,,,,,,,,,,,,,,
,,,,,,,,0.05,0.001012564,0.003,6.07538E-05,,,,,,,,,,,,,,,
,,,,,,,,0.077,0.001198721,0.004,6.22712E-05,,,,,,,,,,,,,,,
,,,,,,,,0.056,0.001015791,0.001,1.81391E-05,,,,,,,,,,,,,,,
,,,,,,,,0.087,0.002809998,0,0,,,,,,,,,,,,,,,
,,,,,,,,0.065,0.001782208,0,0,,,,,,,,,,,,,,,
,,,,,,,,0.096,0.002231269,0.002,4.64848E-05,,,,,,,,,,,,,,,
,,,,,,,,0.089,0.002665987,0.003,8.98647E-05,,,,,,,,,,,,,,,
,,,,,,,,0.082,0.00129198,0.002,3.15117E-05,,,,,,,,,,,,,,,
,,,,,,,,0.068,0.004072382,0.001,5.9888E-05,,,,,,,,,,,,,,,
,,,,,,,,0.109,0.005660753,0.004,0.000207734,,,,,,,,,,,,,,,
,,,,,,,,0.094,0.012925786,0.002,0.000275017,,,,,,,,,,,,,,,
,,,,,,,,0.078,0.013710211,0.001,0.000175772,,,,,,,,,,,,,,,
,,,,,,,,0.092,0.007587243,0.001,8.247E-05,,,,,,,,,,,,,,,
,,,,,,,,0.086,0.010811065,0.003,0.00037713,,,,,,,,,,,,,,,
,,,,,,,,0.075,0.007200659,0.003,0.000288026,,,,,,,,,,,,,,,
,,,,,,,,,0.083520144,,0.001988941,,,,,,,,,,,,,,,
