new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate,SEN provision - SEN with an EHC plan,SEN provision - SEN without an EHC plan/SEN support,SEN provision - No SEN
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,,30
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,267,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,1491,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,,3881
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,68,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,361,,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,1622,
E06000004,Stockton-on-Tees,state-funded primary,60,19193,7,0.03647,187,0.97431,81,0.42203,,,3911
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,26,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,131,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,,30
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,267,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,1491,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,,3881
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,68,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,361,,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,1622,
E06000004,Stockton-on-Tees,state-funded secondary,13,12453,78,0.62636,5639,45.28226,1338,10.7444,,,3911
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,26,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,131,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,,30
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,267,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,1491,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,,3881
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,68,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,361,,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,1622,
E06000004,Stockton-on-Tees,Total,77,32300,85,0.26316,5894,18.24768,1448,4.48297,,,3911
E06000047,County Durham,Total,251,73311,85,0.11594,6704,9.1446,2648,3.61201,106,,
E06000047,County Durham,state-funded primary,211,40881,0,0,762,1.86395,313,0.76564,106,,
E06000047,County Durham,special,9,1671,0,0,119,7.12148,74,4.42849,106,,
E06000047,County Durham,state-funded secondary,31,30759,85,0.27634,5823,18.93104,2261,7.35069,106,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,43,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,240,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,,57
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,158,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,1217,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,,1924
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,118,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,319,,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,1457,
E06000009,Blackpool,state-funded secondary,8,7640,41,0.53665,3299,43.18063,907,11.87173,,,1981
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,43,,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,,240,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,,,57
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,158,,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,,1217,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,,,1924
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,118,,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,319,,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,,1457,
E06000009,Blackpool,Total,43,19879,43,0.21631,3757,18.89934,1066,5.36244,,,1981
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,43,,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,,240,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,,,57
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,158,,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,,1217,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,,,1924
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,118,,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,319,,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,,1457,
E06000009,Blackpool,state-funded primary,31,11658,1,0.00858,340,2.91645,127,1.08938,,,1981
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,43,,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,,240,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,,,57
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,158,,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,,1217,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,,,1924
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,118,,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,319,,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,,1457,
E06000009,Blackpool,special,4,581,1,0.17212,118,20.30981,32,5.50775,,,1981
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,43,,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,,240,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,,,81
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,140,,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,,960,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,,,3726
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,119,,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,302,,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,,1200,
E06000010,"Kingston upon Hull, City of",state-funded primary,71,25432,2,0.00786,364,1.43127,149,0.58588,,,3807
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,43,,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,,240,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,,,81
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,140,,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,,960,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,,,3726
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,119,,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,302,,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,,1200,
E06000010,"Kingston upon Hull, City of",special,6,746,0,0,119,15.95174,69,9.24933,,,3807
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,43,,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,,240,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,,,81
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,140,,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,,960,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,,,3726
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,119,,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,302,,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,,1200,
E06000010,"Kingston upon Hull, City of",state-funded secondary,13,16514,30,0.18166,4826,29.22369,1579,9.56158,,,3807
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,43,,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,,240,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,,,81
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,140,,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,,960,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,,,3726
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,119,,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,302,,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,,1200,
E06000010,"Kingston upon Hull, City of",Total,90,42692,32,0.07496,5309,12.43559,1797,4.20922,,,3807
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,135,,
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,,116,
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,,,60
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,245,,
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,,762,
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,,,2303
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,2,,
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,382,,
E06000011,East Riding of Yorkshire,special,3,442,0,0,2,0.45249,1,0.22624,,878,
